iter	Passed	Remaining
0	1805	539758
1	3392	505449
2	4669	462268
3	5567	411975
4	6462	381267
5	7324	358914
6	8170	341975
7	8979	327748
8	9823	317642
9	10661	309169
10	11519	302638
11	12366	296791
12	13315	293969
13	14120	288456
14	14946	283977
15	15748	279532
16	16593	276228
17	17436	273175
18	18332	271133
19	19370	271190
20	20361	270512
21	21374	270092
22	22257	268058
23	23147	266192
24	23977	263749
25	24807	261429
26	26159	264504
27	27180	264042
28	28170	263247
29	29047	261424
30	29846	258992
31	30641	256622
32	31462	254561
33	32264	252419
34	33059	250304
35	33882	248470
36	34702	246667
37	35513	244854
38	36308	242986
39	37130	241347
40	37941	239680
41	38739	237972
42	39537	236306
43	40338	234695
44	41150	233183
45	41964	231716
46	42773	230248
47	43575	228769
48	44374	227304
49	45165	225828
50	45959	224389
51	46800	223200
52	47594	221809
53	48397	220477
54	49208	219200
55	50031	217994
56	50837	216727
57	51726	215823
58	52522	214542
59	53329	213317
60	54131	212090
61	54925	210842
62	55716	209601
63	56594	208692
64	57394	207502
65	58190	206312
66	58996	205165
67	59797	204014
68	60622	202954
69	61430	201842
70	62240	200745
71	63059	199687
72	63856	198568
73	64655	197462
74	65454	196364
75	66247	195256
76	67043	194165
77	67837	193077
78	68655	192061
79	69465	191031
80	70260	189963
81	71060	188916
82	71891	187956
83	72703	186951
84	73502	185917
85	74306	184901
86	75114	183901
87	75982	183048
88	76776	182021
89	77612	181096
90	78420	180107
91	79225	179117
92	80018	178105
93	80810	177095
94	81607	176100
95	82402	175105
96	83213	174148
97	84005	173154
98	84799	172169
99	85596	171192
100	86476	170385
101	87423	169704
102	88238	168766
103	89033	167793
104	89825	166818
105	90636	165882
106	91426	164908
107	92222	163951
108	93060	163068
109	93846	162099
110	94650	161160
111	95497	160299
112	96321	159399
113	97157	158520
114	97990	157636
115	98833	156770
116	99678	155907
117	100500	155008
118	101368	154181
119	102200	153300
120	103007	152382
121	103811	151463
122	104681	150638
123	105467	149695
124	106287	148802
125	107120	147928
126	107915	147002
127	108701	146067
128	109497	145148
129	110330	144278
130	111118	143351
131	111932	142458
132	112723	141540
133	113524	140634
134	114311	139713
135	115115	138815
136	115901	137896
137	116688	136982
138	117540	136143
139	118390	135303
140	119199	134416
141	120004	133525
142	120968	132811
143	121788	131937
144	122574	131027
145	123378	130138
146	124186	129255
147	124986	128364
148	125797	127486
149	126606	126606
150	127475	125786
151	128298	124922
152	129116	124053
153	129965	123213
154	130770	122333
155	131605	121481
156	132438	120628
157	133281	119785
158	134144	118958
159	134985	118112
160	135911	117339
161	136787	116522
162	137666	115707
163	138512	114863
164	139372	114031
165	140195	113169
166	141014	112305
167	141860	111462
168	142698	110612
169	143499	109734
170	144325	108877
171	145146	108015
172	145950	107142
173	146763	106276
174	147580	105414
175	148506	104629
176	149310	103757
177	150119	102890
178	150921	102019
179	151736	101157
180	152537	100286
181	153358	99429
182	154169	98567
183	155011	97724
184	155824	96863
185	156628	95997
186	157474	95158
187	158320	94318
188	159167	93479
189	159986	92623
190	160792	91761
191	161654	90930
192	162474	90076
193	163380	89269
194	164216	88424
195	165046	87575
196	165868	86723
197	166693	85872
198	167502	85013
199	168319	84159
200	169135	83305
201	169953	82452
202	170746	81588
203	171559	80733
204	172361	79874
205	173169	79019
206	173963	78157
207	174788	77310
208	175603	76458
209	176411	75605
210	177212	74748
211	178025	73897
212	178859	73055
213	179724	72225
214	180524	71370
215	181333	70518
216	182180	69681
217	183002	68835
218	183811	67984
219	184615	67132
220	185450	66292
221	186257	65441
222	187071	64594
223	187906	63754
224	188718	62906
225	189548	62064
226	190355	61215
227	191178	60372
228	192037	59539
229	192870	58699
230	193775	57880
231	194607	57040
232	195439	56199
233	196299	55366
234	197152	54531
235	197968	53686
236	198804	52846
237	199603	51997
238	200398	51147
239	201216	50304
240	202029	49459
241	202843	48615
242	203657	47771
243	204536	46942
244	205391	46108
245	206195	45262
246	207029	44423
247	207842	43579
248	208641	42733
249	209478	41895
250	210355	41065
251	211162	40221
252	212004	39384
253	212913	38559
254	213743	37719
255	214560	36877
256	215366	36034
257	216186	35193
258	216999	34351
259	217809	33509
260	218613	32666
261	219413	31823
262	220213	30980
263	221045	30142
264	221904	29308
265	222720	28468
266	223543	27628
267	224339	26786
268	225169	25948
269	226005	25111
270	226815	24271
271	227877	23457
272	228675	22616
273	229525	21779
274	230345	20940
275	231147	20099
276	232006	19264
277	232836	18425
278	233699	17590
279	234513	16750
280	235335	15912
281	236155	15073
282	236958	14234
283	237800	13397
284	238632	12559
285	239441	11720
286	240309	10885
287	241169	10048
288	242060	9213
289	242897	8375
290	243850	7541
291	244880	6709
292	245839	5873
293	246642	5033
294	247462	4194
295	248256	3354
296	249073	2515
297	249904	1677
298	250711	838
299	251558	0
